Date,Sell Price,Mayor_Aatrox,Mayor_Cole,Mayor_Diana,Mayor_Diaz,Mayor_Jerry,Mayor_Marina,Mayor_Paul,Price_Change_Percent
2025-09-23 05:00:00,634.8,0,1,0,0,0,0,0,0.49
2025-09-23 06:00:00,647.5,0,1,0,0,0,0,0,2.0
2025-09-23 07:00:00,646.1,0,1,0,0,0,0,0,-0.22
2025-09-23 08:00:00,632.1,0,1,0,0,0,0,0,-2.17
2025-09-23 09:00:00,632.0,0,1,0,0,0,0,0,-0.02
2025-09-23 10:00:00,632.3,0,1,0,0,0,0,0,0.05
2025-09-23 11:00:00,634.0,0,1,0,0,0,0,0,0.27
2025-09-23 12:00:00,634.1,0,1,0,0,0,0,0,0.02
2025-09-23 13:00:00,632.1,0,1,0,0,0,0,0,-0.32
2025-09-23 14:00:00,632.1,0,1,0,0,0,0,0,0.0
2025-09-23 15:00:00,631.6,0,1,0,0,0,0,0,-0.08
2025-09-23 16:00:00,600.5,0,1,0,0,0,0,0,-4.92
2025-09-23 17:00:00,610.0,0,1,0,0,0,0,0,1.58
2025-09-23 18:00:00,600.3,0,1,0,0,0,0,0,-1.59
2025-09-23 19:00:00,601.1,0,1,0,0,0,0,0,0.13
2025-09-23 20:00:00,605.1,0,1,0,0,0,0,0,0.67
2025-09-23 21:00:00,605.6,0,1,0,0,0,0,0,0.08
2025-09-23 22:00:00,605.7,0,1,0,0,0,0,0,0.02
2025-09-23 23:00:00,605.8,0,1,0,0,0,0,0,0.02
2025-09-24 00:00:00,606.3,0,1,0,0,0,0,0,0.08
2025-09-24 01:00:00,630.0,0,1,0,0,0,0,0,3.91
2025-09-24 02:00:00,630.5,0,1,0,0,0,0,0,0.08
2025-09-24 03:00:00,635.9,0,1,0,0,0,0,0,0.86
2025-09-24 04:00:00,636.2,0,1,0,0,0,0,0,0.05
2025-09-24 05:00:00,637.0,0,1,0,0,0,0,0,0.13
2025-09-24 06:00:00,638.1,0,1,0,0,0,0,0,0.17
2025-09-24 07:00:00,639.0,0,1,0,0,0,0,0,0.14
2025-09-24 08:00:00,639.6,0,1,0,0,0,0,0,0.09
